Date,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2000-01-03,1.156394124031067,1.156394124031067,1.156394124031067,1.156394124031067,35389440000
2000-01-04,1.092423439025879,1.092423439025879,1.092423439025879,1.092423439025879,28861440000
2000-01-05,1.0814005136489868,1.0814005136489868,1.0814005136489868,1.0814005136489868,43033600000
2000-01-06,1.0776610374450684,1.0776610374450684,1.0776610374450684,1.0776610374450684,34055680000
2000-01-07,1.0825815200805664,1.0825815200805664,1.0825815200805664,1.0825815200805664,20912640000
2000-01-10,1.1048238277435303,1.1048238277435303,1.1048238277435303,1.1048238277435303,19563520000
2000-01-11,1.0776610374450684,1.0776610374450684,1.0776610374450684,1.0776610374450684,23987200000
2000-01-12,1.0792359113693237,1.0792359113693237,1.0792359113693237,1.0792359113693237,23301120000
2000-01-13,1.0481358766555786,1.0481358766555786,1.0481358766555786,1.0481358766555786,26383360000
2000-01-14,1.0628985166549683,1.0628985166549683,1.0628985166549683,1.0628985166549683,16657920000
2000-01-17,1.0506951808929443,1.0506951808929443,1.0506951808929443,1.0506951808929443,16573440000
2000-01-18,1.0556159019470215,1.0556159019470215,1.0556159019470215,1.0556159019470215,17925120000
2000-01-19,1.0481358766555786,1.0481358766555786,1.0481358766555786,1.0481358766555786,38883840000
2000-01-20,1.0457741022109985,1.0457741022109985,1.0457741022109985,1.0457741022109985,26268160000
2000-01-21,1.0235319137573242,1.0235319137573242,1.0235319137573242,1.0235319137573242,17512960000
2000-01-24,1.0162488222122192,1.0162488222122192,1.0162488222122192,1.0162488222122192,18385920000
2000-01-25,1.0162488222122192,1.0162488222122192,1.0162488222122192,1.0162488222122192,0
2000-01-26,1.0284523963928223,1.0284523963928223,1.0284523963928223,1.0284523963928223,25917440000
2000-01-27,1.0211694240570068,1.0211694240570068,1.0211694240570068,1.0211694240570068,38379520000
2000-01-28,1.0211694240570068,1.0211694240570068,1.0211694240570068,1.0211694240570068,17894400000
2000-01-31,1.0040452480316162,1.0040452480316162,1.0040452480316162,1.0040452480316162,32266240000
2000-02-01,1.0235319137573242,1.0235319137573242,1.0235319137573242,1.0235319137573242,23672320000
2000-02-02,1.0432153940200806,1.0432153940200806,1.0432153940200806,1.0432153940200806,14272000000
2000-02-03,1.0727403163909912,1.0727403163909912,1.0727403163909912,1.0727403163909912,25950720000
2000-02-04,1.0999032258987427,1.0999032258987427,1.0999032258987427,1.0999032258987427,21199360000
2000-02-07,1.1071857213974,1.1071857213974,1.1071857213974,1.1071857213974,20613120000
2000-02-08,1.1317896842956543,1.1317896842956543,1.1317896842956543,1.1317896842956543,31498240000
2000-02-09,1.1071857213974,1.1071857213974,1.1071857213974,1.1071857213974,15600640000
2000-02-10,1.07529878616333,1.07529878616333,1.07529878616333,1.07529878616333,18600960000
2000-02-11,1.0408531427383423,1.0408531427383423,1.0408531427383423,1.0408531427383423,25297920000
2000-02-14,1.0260908603668213,1.0260908603668213,1.0260908603668213,1.0260908603668213,10119680000
2000-02-15,1.0457741022109985,1.0457741022109985,1.0457741022109985,1.0457741022109985,33546240000
2000-02-16,1.1294279098510742,1.1294279098510742,1.1294279098510742,1.1294279098510742,73564160000
2000-02-17,1.1195861101150513,1.1195861101150513,1.1195861101150513,1.1195861101150513,21411840000
2000-02-18,1.0949821472167969,1.0949821472167969,1.0949821472167969,1.0949821472167969,22484480000
2000-02-21,1.092423439025879,1.092423439025879,1.092423439025879,1.092423439025879,18700800000
2000-02-22,1.0875024795532227,1.0875024795532227,1.0875024795532227,1.0875024795532227,22474240000
2000-02-23,1.0949821472167969,1.0949821472167969,1.0949821472167969,1.0949821472167969,20334080000
2000-02-24,1.1245067119598389,1.1245067119598389,1.1245067119598389,1.1245067119598389,32931840000
2000-02-25,1.1540321111679077,1.1540321111679077,1.1540321111679077,1.1540321111679077,36958720000
2000-02-28,1.1317896842956543,1.1317896842956543,1.1317896842956543,1.1317896842956543,11596800000
2000-02-29,1.1367111206054688,1.1367111206054688,1.1367111206054688,1.1367111206054688,24322560000
2000-03-01,1.156394124031067,1.156394124031067,1.156394124031067,1.156394124031067,23828480000
2000-03-02,1.1491106748580933,1.1491106748580933,1.1491106748580933,1.1491106748580933,24053760000
2000-03-03,1.1884782314300537,1.1884782314300537,1.1884782314300537,1.1884782314300537,13217280000
2000-03-06,1.1884782314300537,1.1884782314300537,1.1884782314300537,1.1884782314300537,0
2000-03-07,1.1884782314300537,1.1884782314300537,1.1884782314300537,1.1884782314300537,0
2000-03-08,1.2166250944137573,1.2166250944137573,1.2166250944137573,1.2166250944137573,8337920000
2000-03-09,1.2595341205596924,1.2595341205596924,1.2595341205596924,1.2595341205596924,21578240000
2000-03-10,1.222923755645752,1.222923755645752,1.222923755645752,1.222923755645752,14763520000
2000-03-13,1.222923755645752,1.222923755645752,1.222923755645752,1.222923755645752,0
2000-03-14,1.1441901922225952,1.1441901922225952,1.1441901922225952,1.1441901922225952,28421120000
2000-03-15,1.1589529514312744,1.1589529514312744,1.1589529514312744,1.1589529514312744,25216000000
2000-03-16,1.1662359237670898,1.1662359237670898,1.1662359237670898,1.1662359237670898,23298560000
2000-03-17,1.1540321111679077,1.1540321111679077,1.1540321111679077,1.1540321111679077,18447360000
2000-03-20,1.1195861101150513,1.1195861101150513,1.1195861101150513,1.1195861101150513,16012800000
2000-03-21,1.1416316032409668,1.1416316032409668,1.1416316032409668,1.1416316032409668,25492480000
2000-03-22,1.1443872451782227,1.1443872451782227,1.1443872451782227,1.1443872451782227,25113600000
